"Case Date","Total Cases","Breakthroughs (Vaccinated Cases)","Unvaccinated Cases"
2021-01-15,2159,0,2159
2021-01-16,1581,0,1581
2021-01-17,1073,0,1073
2021-01-18,1308,0,1308
2021-01-19,2152,0,2152
2021-01-20,2094,0,2094
2021-01-21,2640,0,2640
2021-01-22,1764,0,1764
2021-01-23,1507,0,1507
2021-01-24,851,0,851
2021-01-25,1417,0,1417
2021-01-26,2014,0,2014
2021-01-27,1766,0,1766
2021-01-28,1510,0,1510
2021-01-29,1481,0,1481
2021-01-30,1190,0,1190
2021-01-31,585,0,585
2021-02-01,1200,0,1200
2021-02-02,1591,0,1591
2021-02-03,1273,0,1273
2021-02-04,1223,0,1223
2021-02-05,1208,0,1208
2021-02-06,913,0,913
2021-02-07,514,1,513
2021-02-08,930,0,930
2021-02-09,1304,0,1304
2021-02-10,1250,0,1250
2021-02-11,1042,1,1041
2021-02-12,943,0,943
2021-02-13,711,2,709
2021-02-14,463,1,462
2021-02-15,581,0,581
2021-02-16,897,0,897
2021-02-17,1148,0,1148
2021-02-18,858,2,856
2021-02-19,783,1,782
2021-02-20,705,0,705
2021-02-21,334,0,334
2021-02-22,714,1,713
2021-02-23,823,1,822
2021-02-24,833,5,828
2021-02-25,655,1,654
2021-02-26,687,1,686
2021-02-27,465,2,463
2021-02-28,263,1,262
2021-03-01,483,0,483
2021-03-02,723,3,720
2021-03-03,618,2,616
2021-03-04,553,1,552
2021-03-05,560,2,558
2021-03-06,416,2,414
2021-03-07,253,0,253
2021-03-08,558,8,550
2021-03-09,654,9,645
2021-03-10,662,2,660
2021-03-11,521,1,520
2021-03-12,494,1,493
2021-03-13,398,1,397
2021-03-14,221,2,219
2021-03-15,484,3,481
2021-03-16,695,6,689
2021-03-17,565,1,564
2021-03-18,447,5,442
2021-03-19,458,4,454
2021-03-20,372,5,367
2021-03-21,162,2,160
2021-03-22,386,3,383
2021-03-23,566,7,559
2021-03-24,532,8,524
2021-03-25,450,1,449
2021-03-26,453,5,448
2021-03-27,387,9,378
2021-03-28,192,2,190
2021-03-29,370,3,367
2021-03-30,521,6,515
2021-03-31,495,0,495
2021-04-01,425,6,419
2021-04-02,447,6,441
2021-04-03,343,5,338
2021-04-04,173,4,169
2021-04-05,306,2,304
2021-04-06,612,14,598
2021-04-07,486,8,478
2021-04-08,443,11,432
2021-04-09,404,6,398
2021-04-10,344,10,334
2021-04-11,184,4,180
2021-04-12,361,8,353
2021-04-13,532,9,523
2021-04-14,453,10,443
2021-04-15,466,11,455
2021-04-16,411,7,404
2021-04-17,244,5,239
2021-04-18,199,3,196
2021-04-19,314,13,301
2021-04-20,592,8,584
2021-04-21,464,10,454
2021-04-22,348,12,336
2021-04-23,466,12,454
2021-04-24,280,4,276
2021-04-25,246,9,237
2021-04-26,330,7,323
2021-04-27,525,9,516
2021-04-28,459,13,446
2021-04-29,342,10,332
2021-04-30,409,19,390
2021-05-01,277,8,269
2021-05-02,227,12,215
2021-05-03,261,14,247
2021-05-04,480,11,469
2021-05-05,397,7,390
2021-05-06,384,13,371
2021-05-07,361,19,342
2021-05-08,232,7,225
2021-05-09,208,6,202
2021-05-10,219,8,211
2021-05-11,463,16,447
2021-05-12,416,12,404
2021-05-13,344,8,336
2021-05-14,320,13,307
2021-05-15,247,15,232
2021-05-16,170,9,161
2021-05-17,255,11,244
2021-05-18,427,30,397
2021-05-19,265,15,250
2021-05-20,298,21,277
2021-05-21,260,13,247
2021-05-22,224,11,213
2021-05-23,148,5,143
2021-05-24,189,14,175
2021-05-25,277,12,265
2021-05-26,307,13,294
2021-05-27,275,19,256
2021-05-28,198,15,183
2021-05-29,170,14,156
2021-05-30,140,8,132
2021-05-31,113,10,103
2021-06-01,204,18,186
2021-06-02,338,27,311
2021-06-03,287,17,270
2021-06-04,306,14,292
2021-06-05,220,25,195
2021-06-06,174,12,162
2021-06-07,251,20,231
2021-06-08,368,24,344
2021-06-09,317,29,288
2021-06-10,265,16,249
2021-06-11,356,37,319
2021-06-12,190,15,175
2021-06-13,169,22,147
2021-06-14,239,27,212
2021-06-15,412,43,369
2021-06-16,371,34,337
2021-06-17,323,33,290
2021-06-18,288,35,253
2021-06-19,252,19,233
2021-06-20,161,20,141
2021-06-21,253,42,211
2021-06-22,523,61,462
2021-06-23,458,45,413
2021-06-24,311,31,280
2021-06-25,351,37,314
2021-06-26,280,34,246
2021-06-27,252,22,230
2021-06-28,373,51,322
2021-06-29,565,84,481
2021-06-30,542,79,463
2021-07-01,436,57,379
2021-07-02,478,60,418
2021-07-03,348,45,303
2021-07-04,161,25,136
2021-07-05,164,20,144
2021-07-06,393,67,326
2021-07-07,671,112,559
2021-07-08,649,89,560
2021-07-09,459,63,396
2021-07-10,483,86,397
2021-07-11,262,30,232
2021-07-12,479,89,390
2021-07-13,600,106,494
2021-07-14,692,104,588
2021-07-15,681,105,576
2021-07-16,624,119,505
2021-07-17,514,88,426
2021-07-18,403,71,332
2021-07-19,566,102,464
2021-07-20,866,164,702
2021-07-21,816,142,674
2021-07-22,767,140,627
2021-07-23,669,117,552
2021-07-24,504,79,425
2021-07-25,331,66,265
2021-07-26,614,113,501
2021-07-27,839,151,688
2021-07-28,1109,224,885
2021-07-29,1215,212,1003
2021-07-30,955,204,751
2021-07-31,787,148,639
2021-08-01,498,99,399
2021-08-02,734,135,599
2021-08-03,1049,202,847
2021-08-04,1096,241,855
2021-08-05,895,150,745
2021-08-06,947,201,746
2021-08-07,660,137,523
2021-08-08,402,68,334
2021-08-09,636,127,509
2021-08-10,1110,236,874
2021-08-11,1243,216,1027
2021-08-12,887,186,701
2021-08-13,1137,212,925
2021-08-14,880,165,715
2021-08-15,418,84,334
2021-08-16,971,213,758
2021-08-17,1485,284,1201
2021-08-18,1280,283,997
2021-08-19,1122,235,887
2021-08-20,1216,237,979
2021-08-21,860,159,701
2021-08-22,646,148,498
2021-08-23,1139,210,929
2021-08-24,1581,320,1261
2021-08-25,1493,238,1255
2021-08-26,1297,268,1029
2021-08-27,1599,315,1284
2021-08-28,1122,228,894
2021-08-29,597,113,484
2021-08-30,1221,226,995
2021-08-31,1676,303,1373
2021-09-01,1690,298,1392
2021-09-02,1628,258,1370
2021-09-03,1871,316,1555
2021-09-04,1185,201,984
2021-09-05,916,166,750
2021-09-06,707,110,597
2021-09-07,1532,257,1275
2021-09-08,2164,329,1835
2021-09-09,2187,355,1832
2021-09-10,1845,278,1567
2021-09-11,1360,234,1126
2021-09-12,1020,180,840
2021-09-13,1268,219,1049
2021-09-14,1879,347,1532
2021-09-15,1884,313,1571
2021-09-16,1752,318,1434
2021-09-17,1368,246,1122
2021-09-18,1124,207,917
2021-09-19,895,195,700
2021-09-20,1334,231,1103
2021-09-21,1716,313,1403
2021-09-22,1606,312,1294
2021-09-23,1673,344,1329
2021-09-24,1359,295,1064
2021-09-25,1027,227,800
2021-09-26,794,181,613
2021-09-27,1124,268,856
2021-09-28,1795,350,1445
2021-09-29,1696,383,1313
2021-09-30,1721,312,1409
2021-10-01,1368,258,1110
2021-10-02,1078,221,857
2021-10-03,843,166,677
2021-10-04,1255,283,972
2021-10-05,1972,492,1480
2021-10-06,1749,388,1361
2021-10-07,1650,355,1295
2021-10-08,1242,327,915
2021-10-09,857,205,652
2021-10-10,1221,309,912
2021-10-11,1093,289,804
2021-10-12,1821,446,1375
2021-10-13,1239,326,913
2021-10-14,1503,387,1116
2021-10-15,1324,326,998
2021-10-16,1090,296,794
2021-10-17,629,153,476
2021-10-18,1352,376,976
2021-10-19,1380,375,1005
2021-10-20,2343,594,1749
2021-10-21,1645,419,1226
2021-10-22,1671,434,1237
2021-10-23,1245,317,928
2021-10-24,726,173,553
2021-10-25,1625,414,1211
2021-10-26,2033,454,1579
2021-10-27,1841,382,1459
2021-10-28,1816,357,1459
2021-10-29,1615,300,1315
